Name,Instruments,FAR_MBTA,SNR_MBTA,pastro_MBTA,FAR_GstLAL,SNR_GstLAL,pastro_GstLAL,FAR_PyCBC,SNR_PyCBC,pastro_PyCBC
GW190426_152155,HLV,32,9.8,0.01,0.91,10.1,0.14,43,8.8,0.01
GW190531_023648,HLV,8.1,9.8,0.05,0.41,10.0,0.28,29,9.2,0.01
